adduser	3.137ubuntu1
uuid-dev:amd64	2.39.3-9ubuntu6.5
uuid-runtime	2.39.3-9ubuntu6.5
va-driver-all:amd64	2.20.0-2ubuntu0.2
vdpau-driver-all:amd64	1.5-2build1
vim	2:9.1.0016-1ubuntu7.18
vim-common	2:9.1.0016-1ubuntu7.18
vim-runtime	2:9.1.0016-1ubuntu7.18
vim-tiny	2:9.1.0016-1ubuntu7.18
vtk9	9.1.0+really9.1.0+dfsg2-7.1build3
wget	1.21.4-1ubuntu4.4
whiptail	0.52.24-2ubuntu2
wpasupplicant	2:2.10-21ubuntu0.4
wsl-pro-service	0.1.4
wsl-setup	0.5.4~24.04
x11-common	1:7.7+23ubuntu3
x11-utils	7.7+6build2
x11proto-dev	2023.2-1
xauth	1:1.1.2-1build1
xdg-user-dirs	0.18-1build1
xkb-data	2.41-2ubuntu1.1
xml-core	0.19
xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1
xxd	2:9.1.0016-1ubuntu7.18
xz-utils	5.6.1+really5.4.5-1ubuntu0.3
zip	3.0-13ubuntu0.2
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
zlib1g-dev:amd64	1:1.3.dfsg-3.1ubuntu2.1
